Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev
Test1;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1.698 μs;0.0115 μs;0.0102 μs
Test2;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1.690 μs;0.0216 μs;0.0202 μs
Test3;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1.684 μs;0.0193 μs;0.0172 μs
Test4;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 4.7.2;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1.685 μs;0.0089 μs;0.0074 μs
